trackId,InitialFrame,TotalFrame,Distance,minVel                  ,maxVel,meanVel,VehicleClass,LaneChangeNum,RampVehicle
2,5,262,129.78,11.47,13.81,12.43,car,0,False
15,89,253,161.47,15.06,16.94,16.02,car,0,False
37,113,240,124.77,9.88,15.50,13.05,car,0,False
132,528,274,166.93,11.91,17.19,15.28,car,1,True
152,648,184,138.11,17.53,19.75,18.86,car,0,False
166,730,199,165.99,20.06,22.12,20.96,car,0,False
170,740,260,168.75,13.53,18.72,16.28,car,1,True
175,799,212,165.17,18.91,22.25,19.58,car,0,False
182,880,183,127.43,14.75,19.94,17.50,car,0,False
210,934,215,154.98,14.81,19.97,18.09,car,1,True
213,1017,200,159.53,19.19,21.34,20.04,car,0,False
216,983,222,164.56,17.69,20.06,18.62,car,0,False
220,952,133,109.76,19.94,21.44,20.79,car,0,False
233,992,188,145.52,18.28,21.00,19.46,car,0,False
253,1108,219,158.39,16.25,20.50,18.16,car,0,False
261,1083,165,134.02,18.75,21.88,20.44,car,0,False
264,1091,195,148.95,14.78,20.50,19.18,car,0,False
280,1162,175,139.42,19.16,22.47,20.04,car,0,False
287,1206,161,127.89,18.62,20.81,19.98,car,0,False
306,1362,203,161.94,18.75,20.50,20.04,car,0,False
319,1292,179,136.16,17.75,20.56,19.13,car,0,False
327,1306,111,90.05,18.91,21.34,20.46,car,0,False
339,1381,206,168.66,18.19,22.19,20.56,car,0,False
446,1837,278,154.26,10.69,15.62,13.93,car,1,True
447,1863,214,163.19,17.56,20.09,19.15,car,0,False
461,1804,153,134.50,20.94,22.94,22.12,car,0,False
484,1835,183,144.77,18.75,20.94,19.89,car,0,False
493,1882,187,159.25,19.16,23.31,21.41,car,0,False
527,1924,197,173.73,19.88,23.81,22.16,car,0,False
537,1940,199,167.54,18.22,23.44,21.15,car,0,False
549,1996,180,145.83,17.75,21.56,20.36,car,0,False
552,2005,209,179.95,18.12,23.34,21.61,car,0,False
570,2041,181,154.33,20.25,22.50,21.44,car,0,False
677,2266,180,157.72,21.50,22.81,22.03,car,0,False
700,2410,185,156.04,20.47,22.69,21.20,car,0,False
701,2404,258,167.89,13.06,18.19,16.33,car,1,True
705,2585,226,175.25,17.94,21.06,19.47,car,0,False
732,2673,254,165.54,14.12,17.75,16.36,car,1,True
766,2753,211,159.22,18.12,20.59,18.96,car,0,False
774,2759,203,179.75,20.06,23.88,22.24,car,0,False
802,2880,177,157.81,21.16,23.44,22.42,car,0,False
803,2884,175,164.56,20.88,24.84,23.64,car,0,False
808,2935,291,220.62,16.12,20.72,19.02,car,0,False
809,2900,230,162.44,14.53,19.97,17.73,car,1,True
890,3090,153,118.08,16.94,21.69,19.44,car,0,False
901,3125,152,126.61,18.31,22.94,20.96,bus,0,False
905,3117,156,100.55,15.25,17.13,16.22,bus,0,False
913,3259,193,159.58,19.37,22.03,20.77,car,0,False
982,3347,204,164.82,18.88,22.12,20.30,car,0,False
1010,3475,236,164.06,14.44,19.37,17.44,car,0,False
1030,3527,174,144.13,20.19,21.84,20.83,car,0,False
1037,3592,243,166.69,14.06,19.00,17.21,car,0,False
1052,3626,208,162.58,17.69,25.09,19.65,car,0,False
1066,3672,240,164.74,15.44,18.69,17.23,car,0,False
1092,3719,276,172.30,6.63,20.63,15.65,car,1,True
1111,3773,153,124.34,19.31,23.97,20.46,bus,0,False
1115,3822,204,172.17,19.81,23.09,21.21,car,0,False
1160,3906,141,119.38,20.00,22.37,21.32,car,0,False
1250,4046,187,144.58,18.50,20.09,19.44,car,0,False
1264,4065,108,86.73,19.19,21.06,20.27,car,0,False
1283,4106,382,176.60,7.53,15.25,11.58,car,1,True
1289,4157,150,122.74,19.87,21.19,20.59,car,0,False
1320,4191,158,126.30,19.19,21.00,20.12,car,0,False
1353,4248,140,116.23,19.75,22.44,20.91,car,0,False
1356,4286,155,133.82,20.25,22.94,21.72,car,0,False
1381,4337,208,164.93,18.81,21.56,19.93,car,0,False
1392,4404,223,191.92,17.94,23.50,21.60,car,0,False
